j_reset_real 0 00100000 B               reset; Branch
pbl_hw_init 4 001039e4 MOV             R3, #1; a4
pbl_hw_init 5 001039fc MOV             R0, #0; Rd = Op2
pbl_hw_init 6 00103a0c MOV             R3, #0; a4
pbl_hw_init 7 00103a20 MOV             R0, #0; Rd = Op2
sub_103A44 0 00103a44 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_103A44 1 00103a6c ORR             R2, R0, #0xA0000; a3
sub_103A44 2 00103a84 MOV             R0, #0; Rd = Op2
sub_103AA4 0 00103aa4 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_103AA4 1 00103aac CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_103AA4 2 00103ab4 LDR             R0, =0x1109000; Load from Memory
sub_103AA4 3 00103ac8 BX              LR; Branch to/from Thumb mode
sub_103AA4 4 00103acc LDR             R0, =0x110A000; Load from Memory
pbl_copy_some_data 0 00103b38 LDR             R0, =off_10D5CC; Load from Memory
pbl_copy_some_data 1 00103b60 LDR             R3, [R4,#0]; a4
pbl_copy_some_data 2 00103b74 LDR             R0, =loc_10D5D8; Load from Memory
pbl_copy_some_data 3 00103b94 LDR             R3, [R4,#0]; a4
pbl_copy_some_data 4 00103ba8 LDR             R0, =loc_10D5B8; Load from Memory
pbl_copy_some_data 5 00103bcc LDR             R3, [R4,#0]; a4
pbl_copy_some_data 6 00103be0 LDR             R0, =loc_10D5C4; Load from Memory
pbl_copy_some_data 7 00103bfc LDR             R3, [R4,#0]; a4
pbl_copy_some_data 8 00103c10 MOV             R0, #0; Rd = Op2
pbl_flash_init 0 00103c5c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
pbl_flash_init 1 00103c6c MOV             R3, #0; a4
pbl_flash_init 2 00103c80 LDR             R6, =dword_8003524; Load from Memory
pbl_flash_init 3 00103c9c BGE             loc_103CB8; Branch
pbl_flash_init 4 00103ca0 CMP             R3, #0; Set cond. codes on Op1 - Op2
pbl_flash_init 5 00103ca8 CMP             R3, #1; Set cond. codes on Op1 - Op2
pbl_flash_init 6 00103cb4 B               loc_103CC8; Branch
pbl_flash_init 7 00103cb8 CMP             R3, #0x80; Set cond. codes on Op1 - Op2
pbl_flash_init 8 00103cc0 CMP             R3, #0x81; Set cond. codes on Op1 - Op2
pbl_flash_init 9 00103cc8 MOV             R1, #0x81; a2
pbl_flash_init 10 00103cd8 LDR             R2, =0x10200; a3
pbl_flash_init 11 00103cec LDR             R3, [R6,#0]; a4
pbl_flash_init 12 00103cf8 B               loc_103D50; Branch
pbl_flash_init 13 00103cfc MOV             R0, R4; a1
pbl_flash_init 14 00103d10 B               loc_103CD8; Branch
pbl_flash_init 15 00103d14 MOV             R0, R4; a1
pbl_flash_init 16 00103d28 MOV             R0, R4; a1
pbl_flash_init 17 00103d38 B               loc_103CD8; Branch
pbl_flash_init 18 00103d3c MOV             R0, R4; a1
pbl_flash_init 19 00103d4c B               loc_103CEC; Branch
pbl_flash_init 20 00103d50 LDR             R2, =0x10300; a3
pbl_flash_init 21 00103d60 BL              get_timer; Branch with Link
pbl_mc_init7 0 00103d94 LDR             R1, =off_110400; Load from Memory
pbl_mc_init7 1 00103dac ORR             R2, R4, #0x20000; a3
pbl_mc_init7 2 00103dc0 MOV             R0, R4; Rd = Op2
memzero_some_address 0 00103ddc LDR             R0, =dword_205400; Load from Memory
memzero_some_address 1 00103df8 MOV             R3, #0x100; a4
memzero_some_address 2 00103e0c LDR             R0, =unk_205500; Load from Memory
memzero_some_address 3 00103e20 MOV             R3, #0x100; a4
memzero_some_address 4 00103e34 LDR             R0, =unk_205600; Load from Memory
memzero_some_address 5 00103e48 MOV             R2, R4; a3
memzero_some_address 6 00103e60 LDMFD           SP!, {R4,PC}; Load Block from Memory
memzero_some_address 7 00103e8c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
pbl_error_handler 0 00103e8c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
pbl_error_handler 1 00103eb4 BL              sub_10F204; Branch with Link
pbl_error_handler 2 00103ec0 LDR             R0, [R8,#0]; Load from Memory
pbl_error_handler 3 00103f28 AND             R0, R4, #0xFF0000; Rd = Op1 & Op2
pbl_error_handler 4 00103f38 LDR             R0, [R8,#0]; Load from Memory
pbl_error_handler 5 00103f54 LDR             R2, [R5,#0]; Load from Memory
pbl_error_handler 6 00103f68 AND             R0, R4, #0xFF00; Rd = Op1 & Op2
pbl_error_handler 7 00103f74 BL              sub_1053B8; Branch with Link
pbl_error_handler 8 00103f80 BL              get_pbl_struct_ptr; Branch with Link
pbl_error_handler 9 00103f94 LDR             R0, =dword_10D5D0; Load from Memory
pbl_error_handler 10 00103fb8 MOV             R3, R5; a4
pbl_error_handler 11 00103fcc LDR             R1, [R4,#0x14]; Load from Memory
pbl_error_handler 12 00103fe0 LDR             R3, [R4,#0x14]; a4
pbl_error_handler 13 00103ff4 LDR             R0, =loc_111000; Load from Memory
pbl_error_handler 14 00104008 MOV             R3, #0x4000; a4
pbl_error_handler 15 0010401c LDR             R0, =unk_2186FC; Load from Memory
pbl_error_handler 16 00104030 LDR             R3, [R4,#0x20]; a4
pbl_error_handler 17 00104044 LDR             R0, =unk_20963C; Load from Memory
pbl_error_handler 18 00104058 MOV             R3, #0xF000; a4
pbl_error_handler 19 0010406c LDR             R1, =dword_10D5F8; Load from Memory
pbl_error_handler 20 00104098 MOV             R3, R4; a4
pbl_error_handler 21 001040ac LDR             R0, =dword_205000; Load from Memory
pbl_error_handler 22 001040b4 STR             R6, [R0],#4; Store to Memory
pbl_error_handler 23 001040c0 MOV             R0, #0x8000000; Rd = Op2
pbl_error_handler 24 001040c8 STR             R6, [R0],#4; Store to Memory
pbl_error_handler 25 001040d4 LDMFD           SP!, {R4-R10,LR}; Load Block from Memory
pbl_error_handler 26 00100258 MOV             R0, #0; Rd = Op2
pbl_jmp_to_sbl 0 00104130 STMFD           SP!, {R4,LR}; Store Block to Memory
pbl_jmp_to_sbl 1 00104144 MOV             R3, #0; a4
pbl_jmp_to_sbl 2 00104158 BL              get_timer; Branch with Link
pbl_jmp_to_sbl 3 00104188 ORR             R2, R0, #0x20000; a3
pbl_jmp_to_sbl 4 0010419c LDR             R1, [R4,#0x24]!; Load from Memory
sub_104200 0 00104200 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_104200 1 00104218 MOV             R3, #0; a4
sub_104200 2 0010422c LDR             R2, [R4,#0x18]; Load from Memory
sub_104254 0 00104254 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_104254 1 00104270 MOV             R3, #0; a4
sub_104254 2 00104284 CMP             R6, #2; Set cond. codes on Op1 - Op2
sub_104254 3 0010428c MOV             R3, R6; a4
sub_104254 4 001042a0 LDR             R0, [R7,#0x28]; Load from Memory
sub_104254 5 0010432c STR             R2, [R0,#0x28]; Store to Memory
sub_104254 6 00104340 LDR             R1, [R0,#0x2C]; Load from Memory
sub_104254 7 0010434c LDR             R1, [R0,#0x2C]; Load from Memory
sub_104254 8 00104368 MOV             R0, #0; Rd = Op2
sub_104254 9 00104370 LDR             R1, [R4,#0x34]; Load from Memory
sub_104254 10 00104384 LDR             R0, [R4,#0x34]; Load from Memory
sub_104404 0 00104404 STMFD           SP!, {R3-R9,LR}; Store Block to Memory
sub_104404 1 00104418 MOV             R3, #0; a4
sub_104404 2 0010442c ADD             R5, R5, #0x24; Rd = Op1 + Op2
sub_104404 3 0010444c MOV             R3, #0; a4
sub_104404 4 00104460 LDR             R0, [R4,#0]; Load from Memory
sub_104404 5 0010446c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_104404 6 00104478 LDR             R0, [R4,#4]; Load from Memory
sub_104404 7 00104494 TST             R6, #3; Set cond. codes on Op1 & Op2
sub_104404 8 0010449c LDRB            R3, [R6,#0]; a4
sub_104404 9 001044b0 STR             R6, [SP,#0]; Store to Memory
sub_104404 10 001044d0 LDMFD           SP!, {R3-R9,PC}; Load Block from Memory
sub_104404 11 001044d4 LDR             R0, [R4,#4]; Load from Memory
sub_104510 0 00104510 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_104510 1 00104528 LDR             R2, =0xB0700; a3
sub_104510 2 00104538 LDR             R0, =dword_8003590; Load from Memory
sub_104510 3 0010454c MOV             R2, #0x50; Rd = Op2
sub_104510 4 00104570 MOV             R0, R4; Rd = Op2
sub_10459C 0 0010459c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_10459C 1 001045b0 MOV             R3, #0; a4
sub_10459C 2 001045c4 LDR             R2, [R4,#0x24]; Load from Memory
pbl_flash_sdcc 0 00104668 STMFD           SP!, {R4,LR}; Store Block to Memory
pbl_flash_sdcc 1 00104674 MOV             R3, #0; a4
pbl_flash_sdcc 2 00104688 LDR             R0, [R4,#4]; Load from Memory
pbl_flash_sdcc 3 00104694 BGT             loc_1046B0; Branch
pbl_flash_sdcc 4 00104698 CMP             R0, #0; Set cond. codes on Op1 - Op2
pbl_flash_sdcc 5 001046a0 CMP             R0, #1; Set cond. codes on Op1 - Op2
pbl_flash_sdcc 6 001046a8 MOV             R0, #4; Rd = Op2
pbl_flash_sdcc 7 001046ac LDMFD           SP!, {R4,PC}; Load Block from Memory
pbl_flash_sdcc 8 001046b0 CMP             R0, #0x80; Set cond. codes on Op1 - Op2
pbl_flash_sdcc 9 001046bc B               loc_1046A8; Branch
pbl_flash_sdcc 10 001046c0 MOV             R1, #0; a2
pbl_flash_sdcc 11 001046d4 MOV             R0, R4; Rd = Op2
pbl_flash_sdcc 12 001046e4 MOV             R1, #1; a2
pbl_flash_sdcc 13 001046f8 MOV             R0, R4; Rd = Op2
pbl_flash_sdcc 14 00104d8c STMFD           SP!, {R4-R11,LR}; Store Block to Memory
pbl_flash_sdcc 15 001047f4 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_104720 0 00104720 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_104720 1 0010473c MOV             R3, #0; a4
sub_104720 2 00104750 LDR             R0, [R4,#0x28]; Load from Memory
sub_104720 3 001047b8 CMP             R1, #0x800; Set cond. codes on Op1 - Op2
sub_104720 4 001047c8 LDR             R0, =sub_104C9C; Load from Memory
sub_104720 5 001047d8 STR             R1, [R0,#0x10]; Store to Memory
pbl_flash_sdcc3 0 001047f4 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
pbl_flash_sdcc3 1 00104814 CMP             R5, #2; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 2 0010481c MOV             R3, #0; a4
pbl_flash_sdcc3 3 00104830 LDR             R0, [R7,#0x28]; Load from Memory
pbl_flash_sdcc3 4 00104864 LDR             R0, [R4,#0]; Load from Memory
pbl_flash_sdcc3 5 00104870 STR             R11, [SP,#8]; Store to Memory
pbl_flash_sdcc3 6 00104898 LDR             R0, =0x40FF8080; Load from Memory
pbl_flash_sdcc3 7 001048bc CMP             R0, #2; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 8 001048c4 B               loc_104904; Branch
pbl_flash_sdcc3 9 001048c8 LDR             R0, [SP,#0xC]; Load from Memory
pbl_flash_sdcc3 10 001048d4 LDR             R0, [SP,#0xC]; Load from Memory
pbl_flash_sdcc3 11 001048e4 LDR             R0, [SP,#0xC]; Load from Memory
pbl_flash_sdcc3 12 001048fc CMP             R5, #2; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 13 00104904 MOV             R0, #0x1388; Rd = Op2
pbl_flash_sdcc3 14 00104918 STR             R6, [R4,#0]; Store to Memory
pbl_flash_sdcc3 15 0010491c LDR             R0, [R4,#0]; Load from Memory
pbl_flash_sdcc3 16 00104930 MOV             R0, R4; Rd = Op2
pbl_flash_sdcc3 17 00104948 MOV             R2, #1; Rd = Op2
pbl_flash_sdcc3 18 001049a4 MOV             R0, #1; Rd = Op2
pbl_flash_sdcc3 19 001049dc LDR             R1, [SP,#0xC]; Load from Memory
pbl_flash_sdcc3 20 001049ec MOV             R1, #9; Rd = Op2
pbl_flash_sdcc3 21 00104a0c MOV             R5, R0; Rd = Op2
pbl_flash_sdcc3 22 00104a20 LDR             R3, [R4,#0x20]; a4
pbl_flash_sdcc3 23 00104a2c MOV             R1, #0x81D; a2
pbl_flash_sdcc3 24 00104a3c MOV             R0, #6; Rd = Op2
pbl_flash_sdcc3 25 00104a7c MOV             R5, R8; Rd = Op2
pbl_flash_sdcc3 26 00104a88 MOV             R0, #0xD; Rd = Op2
pbl_flash_sdcc3 27 00104acc MOV             R0, #0x64; Rd = Op2
pbl_flash_sdcc3 28 00104ae4 MOVS            R5, R9; Rd = Op2
pbl_flash_sdcc3 29 00104aec B               loc_104AF8; Branch
pbl_flash_sdcc3 30 00104af0 MOV             R9, #0; Rd = Op2
pbl_flash_sdcc3 31 00104af8 LDR             R3, [R8,#0x30]; a4
pbl_flash_sdcc3 32 00104b08 CMP             R3, #1; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 33 00104b14 CMP             R3, #2; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 34 00104b20 CMP             R3, #3; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 35 00104b28 MOV             R1, #0x6B4; a2
pbl_flash_sdcc3 36 00104b38 LDR             R0, [R8,#0x34]; Load from Memory
pbl_flash_sdcc3 37 00104b54 CMP             R5, #0; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 38 00104b5c MOV             R0, R4; Rd = Op2
pbl_flash_sdcc3 39 00104b6c CMP             R5, #0; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 40 00104b74 LDR             R0, =dword_10F75C; Load from Memory
pbl_flash_sdcc3 41 00104bbc LDRB            R0, [SP,#0xFB]; Load from Memory
pbl_flash_sdcc3 42 00104bf4 AND             R1, R0, #0x38; Rd = Op1 & Op2
pbl_flash_sdcc3 43 00104c04 CMP             R1, #1; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 44 00104c10 CMP             R1, #2; Set cond. codes on Op1 - Op2
pbl_flash_sdcc3 45 00104c1c LDR             R0, [R4,#0]; Load from Memory
pbl_flash_sdcc3 46 00104c28 B               loc_104C4C; Branch
pbl_flash_sdcc3 47 00104c2c STR             R0, [R4,#0x40]; Store to Memory
pbl_flash_sdcc3 48 00104c3c LDRB            R1, [SP,#0x11F]; Load from Memory
pbl_flash_sdcc3 49 00104c48 STR             R0, [R4,#0x24]; Store to Memory
pbl_flash_sdcc3 50 00104c4c LDR             R0, [R7,#0x10]; Load from Memory
pbl_flash_sdcc3 51 00104c68 LDR             R0, [SP,#0x248]; Load from Memory
pbl_flash_sdcc3 52 00104c74 CMN             R4, #1; Set cond. codes on Op1 + Op2
pbl_flash_sdcc3 53 00104c80 MOV             R2, #5; Rd = Op2
pbl_flash_sdcc3 54 00104c90 MOV             R0, R10; Rd = Op2
pbl_flash_sdcc3 55 00104c94 ADD             SP, SP, #0x24C; Rd = Op1 + Op2
pbl_flash_sdcc3 56 0010f0d4 B               loc_10F0D4; Branch
sub_104C9C 0 00104c9c STMFD           SP!, {R4-R7,LR}; Store Block to Memory
sub_104C9C 1 00104cb4 MOV             R3, #0; a4
sub_104C9C 2 00104cc8 BL              get_pbl_struct_ptr; Branch with Link
sub_104C9C 3 00104ce4 MOV             R3, #0; a4
sub_104C9C 4 00104cf8 MOV             R1, #0x10; Rd = Op2
sub_104C9C 5 00104d0c MOV             R3, #0x10; a4
sub_104C9C 6 00104d20 MOV             R0, #1; Rd = Op2
sub_104C9C 7 00104d4c MOV             R3, R0; a4
sub_104C9C 8 00104d60 ADD             SP, SP, #0x14; Rd = Op1 + Op2
pbl_flash_sdcc2 0 00104d8c STMFD           SP!, {R4-R11,LR}; Store Block to Memory
pbl_flash_sdcc2 1 00104dac MOV             R3, #0; a4
pbl_flash_sdcc2 2 00104dc0 MOV             R0, #1; Rd = Op2
pbl_flash_sdcc2 3 00104e1c MOV             R0, #8; Rd = Op2
pbl_flash_sdcc2 4 00104e48 MOV             R0, #0x3E8; Rd = Op2
pbl_flash_sdcc2 5 00104e5c LDR             R0, [SP,#0]; Load from Memory
pbl_flash_sdcc2 6 00104e68 MOV             R5, #0; Rd = Op2
pbl_flash_sdcc2 7 00104e6c MOV             R0, #0x37; Rd = Op2
pbl_flash_sdcc2 8 00104e90 B               loc_104EF4; Branch
pbl_flash_sdcc2 9 00104e94 LDR             R1, [SP,#0x10]; Load from Memory
pbl_flash_sdcc2 10 00104ea8 MOV             R11, R10; Rd = Op2
pbl_flash_sdcc2 11 00104eb0 MOV             R0, #0x29; Rd = Op2
pbl_flash_sdcc2 12 00104ed4 LDR             R0, [SP,#0x10]; Load from Memory
pbl_flash_sdcc2 13 00104ee0 LDR             R0, [SP,#0x10]; Load from Memory
pbl_flash_sdcc2 14 00104ef4 MOV             R0, #0x1388; Rd = Op2
pbl_flash_sdcc2 15 00104f08 CMP             R11, #1; Set cond. codes on Op1 - Op2
pbl_flash_sdcc2 16 00104f1c MOV             R0, R4; Rd = Op2
pbl_flash_sdcc2 17 00104f2c MOV             R0, R4; Rd = Op2
pbl_flash_sdcc2 18 00104f3c MOV             R2, #1; Rd = Op2
pbl_flash_sdcc2 19 00104f9c MOV             R0, #1; Rd = Op2
pbl_flash_sdcc2 20 00104fd8 LDR             R1, [SP,#0xC]; Load from Memory
pbl_flash_sdcc2 21 00104fe8 MOV             R1, #9; Rd = Op2
pbl_flash_sdcc2 22 00105008 MOV             R5, R0; Rd = Op2
pbl_flash_sdcc2 23 0010501c MOV             R0, #0x33; Rd = Op2
pbl_flash_sdcc2 24 0010506c LDRB            R1, [R7,#0]; Load from Memory
pbl_flash_sdcc2 25 00105084 MOV             R5, R0; Rd = Op2
pbl_flash_sdcc2 26 0010508c LDR             R0, [SP,#0x28]; Load from Memory
pbl_flash_sdcc2 27 00105098 MOV             R3, R0; a4
pbl_flash_sdcc2 28 001050ac LDR             R0, [SP,#0x2C]; Load from Memory
pbl_flash_sdcc2 29 001050b8 LDR             R0, [R4,#0x34]; Load from Memory
pbl_flash_sdcc2 30 001050cc MOV             R0, R4; Rd = Op2
pbl_flash_sdcc2 31 001050dc CMP             R5, #0; Set cond. codes on Op1 - Op2
pbl_flash_sdcc2 32 001050e4 B               loc_105180; Branch
pbl_flash_sdcc2 33 00105108 MOV             R0, #0; Rd = Op2
pbl_flash_sdcc2 34 0010515c LDR             R1, [R7,#0x34]; Load from Memory
pbl_flash_sdcc2 35 00105174 MOV             R5, R0; Rd = Op2
pbl_flash_sdcc2 36 0010517c B               loc_1050CC; Branch
pbl_flash_sdcc2 37 00105180 LDR             R0, [R6,#0x10]; Load from Memory
pbl_flash_sdcc2 38 0010519c MOV             R1, R0; Rd = Op2
pbl_flash_sdcc2 39 001051b0 CMP             R9, #3; Set cond. codes on Op1 - Op2
pbl_flash_sdcc2 40 001051b8 MOV             R0, #0; Rd = Op2
pbl_flash_sdcc2 41 001051c0 ADD             SP, SP, #0x34; Rd = Op1 + Op2
sub_1051CC 0 001051cc STMFD           SP!, {R4,LR}; Store Block to Memory
sub_1051CC 1 001051e8 MOV             R3, #0; a4
sub_1051CC 2 001051fc LDR             R0, [R4,#0x2C]; Load from Memory
get_pbl_struct_ptr 0 00105260 LDR             R0, =pblStruct; Load from Memory
sub_10526C 0 0010526c MOV             R0, #0xA6000; Rd = Op2
pbl_sense_jtag 0 0010527c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
pbl_sense_jtag 1 00105288 MOV             R3, #0; a4
pbl_sense_jtag 2 0010529c MOV             R0, #0; Rd = Op2
pbl_sense_jtag 3 001052b4 LDR             R0, [R3,#0x2C]; Load from Memory
pbl_sense_jtag 4 001052c4 MOV             R3, R5; a4
pbl_sense_jtag 5 001052d8 STR             R5, [R4,#4]; Store to Memory
pbl_sense_jtag 6 001052dc MOV             R0, #0; Rd = Op2
pbl_sense_jtag 7 001052e4 LDR             R0, [R3,#0x6C]; Load from Memory
pbl_sense_jtag 8 001052f4 STR             R2, [R4,#4]!; Store to Memory
pbl_sense_jtag 9 00105304 LDR             R12, =0x193D000; Load from Memory
pbl_sense_jtag 10 00105320 CMP             R0, #2; Set cond. codes on Op1 - Op2
pbl_sense_jtag 11 00105328 CMP             R0, #3; Set cond. codes on Op1 - Op2
pbl_sense_jtag 12 00105330 B               loc_105344; Branch
pbl_sense_jtag 13 00105334 MOV             R0, #0x80; Rd = Op2
pbl_sense_jtag 14 00105344 MOV             R0, #0x81; Rd = Op2
pbl_sense_jtag 15 00105350 STR             R0, [R4,#0x30]; Store to Memory
pbl_sense_jtag 16 00105354 MOV             R0, #0xFFF0; Rd = Op2
pbl_sense_jtag 17 0010536c B               loc_1052DC; Branch
sub_105390 0 00105390 MOV             R0, #0xA6000; Rd = Op2
sub_1053A8 0 001053a8 MOV             R0, #0xA6000; Rd = Op2
sub_1053A8 1 0010f1c8 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1053B8 0 001053b8 MOV             R0, #0xA6000; Rd = Op2
sub_105404 0 00105404 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10542C 0 0010542c LDR             R1, =0x119D000; Load from Memory
pbl_elf_loader 0 00105488 STMFD           SP!, {R4-R12,LR}; Store Block to Memory
pbl_elf_loader 1 001054a8 MOV             R3, #0x2C0; a4
pbl_elf_loader 2 001054bc CMP             R4, #0; Set cond. codes on Op1 - Op2
pbl_elf_loader 3 001054c4 MOV             R3, #0; a4
pbl_elf_loader 4 001054d8 LDR             R0, [R4,#4]; Load from Memory
pbl_elf_loader 5 001054e4 MOV             R3, #0; a4
pbl_elf_loader 6 001054f8 LDR             R0, [R4,#8]; Load from Memory
pbl_elf_loader 7 00105504 MOV             R3, #0; a4
pbl_elf_loader 8 00105518 BL              sub_10A040; Branch with Link
pbl_elf_loader 9 00105524 MOV             R3, R0; a4
pbl_elf_loader 10 00105538 LDR             R9, =unk_8003DC0; Load from Memory
pbl_elf_loader 11 00105560 MOV             R3, #0x34; a4
pbl_elf_loader 12 00105574 LDR             R0, =unk_8003DC0; Load from Memory
pbl_elf_loader 13 00105584 ORR             R2, R0, #0xA0000; a3
pbl_elf_loader 14 00105598 LDRH            R0, [R9,#0x2C]; Load from Memory
pbl_elf_loader 15 001055b8 LDRH            R0, [R9,#0x2C]; Load from Memory
pbl_elf_loader 16 001055d0 LDRH            R0, [R9,#0x2C]; Load from Memory
pbl_elf_loader 17 001055e4 ADD             R1, R9, R5,LSL#5; Rd = Op1 + Op2
pbl_elf_loader 18 001055f8 ADD             R5, R5, #1; Rd = Op1 + Op2
pbl_elf_loader 19 00105604 LDR             R0, [R9,#0x2B8]; Load from Memory
pbl_elf_loader 20 00105610 B               loc_105744; Branch
pbl_elf_loader 21 00105614 STR             R5, [R9,#0x2B4]; Store to Memory
pbl_elf_loader 22 00105634 LDR             R3, [R5,#0x48]; a4
pbl_elf_loader 23 00105648 LDR             R0, [R4,#0]; Load from Memory
pbl_elf_loader 24 00105654 MOV             R3, #0; a4
pbl_elf_loader 25 00105668 LDR             R6, [R4,#0]; Load from Memory
pbl_elf_loader 26 00105678 LDR             R0, =loc_10D33C; a1
pbl_elf_loader 27 0010568c CMP             R5, #0; Set cond. codes on Op1 - Op2
pbl_elf_loader 28 00105694 MOV             R3, #0; a4
pbl_elf_loader 29 001056a8 CMP             R6, #0; Set cond. codes on Op1 - Op2
pbl_elf_loader 30 001056b0 MOV             R3, #0; a4
pbl_elf_loader 31 001056c4 LDR             R0, [R5,#0x14]; Load from Memory
pbl_elf_loader 32 001056d4 MOV             R2, R10; a3
pbl_elf_loader 33 001056e4 TST             R6, #3; Set cond. codes on Op1 & Op2
pbl_elf_loader 34 001056ec MOV             R3, R6; a4
pbl_elf_loader 35 00105700 LDR             R2, [R5,#0x10]; Load from Memory
pbl_elf_loader 36 0010570c LDR             R3, [R4,#4]; Load from Memory
pbl_elf_loader 37 00105724 LDR             R3, [R5,#0x10]; a4
pbl_elf_loader 38 00105738 LDR             R0, [R4,#0]; Load from Memory
pbl_elf_loader 39 00105744 LDR             R2, =0x120200; a3
pbl_elf_loader 40 00105758 LDR             R3, [R4,#8]; Load from Memory
pbl_elf_loader 41 00105774 MOV             R3, R0; a4
pbl_elf_loader 42 00105788 LDRH            R0, [R9,#0x2C]; Load from Memory
pbl_elf_loader 43 00105798 ADD             R6, R9, R7,LSL#5; Rd = Op1 + Op2
pbl_elf_loader 44 001057ac LDR             R0, [R6,#0x3C]; Load from Memory
pbl_elf_loader 45 001057c0 ADD             R5, R6, #0x34; Rd = Op1 + Op2
pbl_elf_loader 46 001057d0 MOV             R3, #0; a4
pbl_elf_loader 47 001057e4 CMP             R5, #0; Set cond. codes on Op1 - Op2
pbl_elf_loader 48 001057ec MOV             R3, #0; a4
pbl_elf_loader 49 00105800 CMP             R6, #0; Set cond. codes on Op1 - Op2
pbl_elf_loader 50 00105808 MOV             R3, #0; a4
pbl_elf_loader 51 0010581c LDR             R0, [R5,#0x14]; Load from Memory
pbl_elf_loader 52 0010582c MOV             R2, R10; a3
pbl_elf_loader 53 0010583c TST             R6, #3; Set cond. codes on Op1 & Op2
pbl_elf_loader 54 00105844 MOV             R3, R6; a4
pbl_elf_loader 55 00105858 B               loc_105898; Branch
pbl_elf_loader 56 00105898 LDR             R2, [R5,#0x10]; Load from Memory
pbl_elf_loader 57 001058a4 LDR             R3, [R4,#4]; Load from Memory
pbl_elf_loader 58 001058bc LDR             R3, [R5,#0x10]; a4
pbl_elf_loader 59 001058d0 LDRH            R0, [R9,#0x2C]; Load from Memory
pbl_elf_loader 60 001058e0 LDR             R0, [R4,#0xC]; Load from Memory
pbl_elf_loader 61 001058f0 MOV             R3, R0; a4
pbl_elf_loader 62 00105904 MOV             R0, #0; Rd = Op2
init_pblStruct 0 001059e0 LDR             R0, =dword_10D5F0; Load from Memory
init_pblStruct 1 00105a08 LDR             R3, [R4,#0]; a4
init_pblStruct 2 00105a1c LDR             R0, =dword_10D5FC; Load from Memory
init_pblStruct 3 00105a38 LDR             R3, [R4,#0]; a4
init_pblStruct 4 00105a50 LDMFD           SP!, {R4,PC}; Load Block from Memory
init_pblStruct 5 00103e8c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
pbl_stack_init 0 00105a84 LDR             R1, =dword_205400; Load from Memory
pbl_stack_init 1 00105aa0 LDR             R0, =dword_205000; Load from Memory
pbl_stack_init 2 00105ab4 MOV             R3, #0x400; a4
pbl_stack_init 3 00105ac8 MOV             R0, #0; Rd = Op2
pbl_stack_init 4 00105acc LDMFD           SP!, {R4,PC}; Load Block from Memory
pbl_mc_init5 0 00105af0 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
pbl_mc_init5 1 00105afc MOV             R3, #0; a4
pbl_mc_init5 2 00105b10 LDR             R0, =dword_8003100; Load from Memory
pbl_mc_init5 3 00105bac MOV             R3, #0x20; a4
pbl_mc_init5 4 00105bc0 LDR             R0, [R4,#0x28]; Load from Memory
pbl_mc_init5 5 00105bcc MOV             R0, R4; a1
pbl_mc_init5 6 00105bdc MOV             R0, R4; a1
pbl_mc_init5 7 00105bec MOV             R0, R4; Rd = Op2
pbl_mc_init5 8 00105c04 ORR             R2, R5, #0x20000; a3
pbl_mc_init5 9 00105c18 MOV             R0, R5; Rd = Op2
pbl_mc_init5 10 00105c1c LDMFD           SP!, {R4-R8,PC}; Load Block from Memory
pbl_sahara2 0 00105cbc STMFD           SP!, {R4-R6,LR}; Store Block to Memory
pbl_sahara2 1 00105ccc MOV             R3, #0; a4
pbl_sahara2 2 00105ce0 LDR             R1, [R4,#0x38]; Load from Memory
pbl_sahara3 0 00105d18 STMFD           SP!, {R4,LR}; Store Block to Memory
pbl_sahara3 1 00105d30 BL              0x11705C; Branch with Link
pbl_sahara3 2 00105d3c MOV             R3, #0; a4
